finding,ICD10_code,PFx,Word Count ,PFx_ICD10_Code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,accuracy,readability_difference,overall_score,ICD10_trimmed,pfx_trimmed ,relaxed_pfx_accuracy,agent_trimmed,relaxed_agent_accuracy,relaxed_accuracy,relaxed_overall_score
Thoracic Outlet Syndrome,G54.0,"Thoracic Outlet Syndrome is when things get too tight between the collarbone and the first rib. It's like a squeezed garden hose. This space is where nerves and blood vessels pass. If it gets tight, you might feel sore or tingly in your shoulder or arm. Heavy lifting, poor posture, or an injury can cause this. When things are squeezed, it makes blood and nerve signals inside you weaker. Just like water in a kinked hose flows less. You can do exercises or change how you move to help it feel better.",92,G54.0,G54.0,TRUE,TRUE,93.64,1,1,1,8.64,1.620746888,G54,G54,1,G54,1,1,1.620746888
Arachnoid Cyst,G93.0,"An arachnoid cyst is like a small bubble filled with clear, watery fluid. It sits between layers of tissue in your brain or spinal cord, kind of like a little balloon in a sandwich. These cysts are usually not dangerous and might not cause any problems. Most people don't even know they have one because they don't feel anything. But sometimes, if the cyst grows too big, it might press on the brain and cause headaches or other issues. Usually, no treatment is needed unless it causes discomfort.",88,G93.0,Q04.6,FALSE,TRUE,81.93,0,1,0.5,3.07,0.8491400491,G93,G93,1,Q04,0,0.5,0.8491400491
Cavernous Malformation,Q28.3,"A cavernous malformation is when tiny blood vessels bunch up inside the brain or spine. Picture a small ball of yarn inside your body. Most of the time, these don't cause any problems or symptoms, so people don't even know they have them. Doctors usually find them by accident when they look for other things. Sometimes these bunches can cause little trouble, but usually, they stay quiet and do not harm. It's still good to know about them even if they aren't causing any problems.",85,Q28.3,I67.1,FALSE,TRUE,82.44,0,1,0.5,2.56,0.8561797753,Q28,Q28,1,I67,0,0.5,0.8561797753
Chiari Malformation,Q07.0,"Chiari Malformation happens when the lower part of the brain pushes into the space where the spine begins. Think of it like a small foot trying to fit into a tiny shoe. This pushing can cause problems. Some people might feel fine and not notice anything. Others could have headaches, neck pain, or balance problems. Doctors look at special pictures of your brain and spine to see what is happening. Every person feels this in a different way. It is important to know that you are not alone and doctors are there to help.",94,Q07.0,Q07.0,TRUE,TRUE,84.88,1,1,1,0.12,1.778571429,Q07,Q07,1,Q07,1,1,1.778571429
Enlarged Virchow-Robin Spaces,G93.9,"The MRI showed something called 'enlarged Virchow-Robin spaces.' This might sound hard, but it’s not. In your brain, there are little spaces filled with fluid, like tiny rivers. Sometimes, these spaces get a bit bigger. It's like when a river swells after rain. Usually, this is normal and doesn’t cause any trouble. Think of it as a little part of how your brain is made, just like everyone has different features. Most of the time, it doesn't need treatment, and you don't have to worry about it.",87,G93.9,G93.9,TRUE,TRUE,85.79,1,1,1,0.79,1.711731844,G93,G93,1,G93,1,1,1.711731844
Microangiopathy,I67.89,"Microangiopathy happens when tiny blood vessels in the body don't work as they should. Think of these tiny vessels as little roads that blood uses to travel. If these roads become bumpy or blocked, it can make it hard for blood to get where it needs to go, like your brain. This might sometimes cause dizziness or headaches, but not always. Doctors pay attention to this because it helps them understand your health better. Microangiopathy is often seen with other health issues like diabetes or high blood pressure, which affect these small roads too.",94,I67.89,I67.89,TRUE,TRUE,80.92,1,1,1,4.08,1.639370079,I67,I67,1,I67,1,1,1.639370079
Pineal Cyst,D35.4,"A pineal cyst is a small sac filled with fluid in your brain. It is found in the pineal gland, a tiny part of your brain. Imagine it like a little water balloon inside your head. Most people don't know they have a pineal cyst because it usually doesn't cause any problems. These cysts are often found by accident during brain scans for other reasons. It's like having a tiny freckle. It doesn't really bother you or cause any harm. Many people have them and live perfectly healthy and normal lives without knowing they're there.",95,D35.4,Q04.8,FALSE,TRUE,84.78,0,1,0.5,0.22,0.9639344262,D35,D35,1,Q04,0,0.5,0.9639344262
Porencephalic Cyst,Q04.6,"Think of your brain like a loaf of bread. Sometimes there are little air bubbles inside the bread. A porencephalic cyst is like one of those bubbles, but in your brain, and it's filled with fluid. This fluid is the same type that helps cushion your brain and spine. Some people have these cysts and never know because they don't cause problems. It's like having a unique mark that doesn't change anything else. Doctors often discover these cysts when doing tests for other reasons, so they are usually nothing to worry about.",92,Q04.6,Q04.6,TRUE,TRUE,83.56,1,1,1,1.44,1.681967213,Q04,Q04,1,Q04,1,1,1.681967213
Subependymal Nodules,Q04.8,"Subependymal nodules are small bumps that can form in the brain. Think of them like very tiny pebbles in a pond. These nodules can appear due to certain conditions that affect the body, like neurofibromatosis or tuberous sclerosis. While the thought of having something in the brain might be a little frightening, these nodules usually don’t cause trouble. Doctors will see them during special pictures of the brain called scans and keep track of them. Generally, there is nothing else doctors need to do except watch them closely over time to ensure no changes occur.",95,Q04.8,Q04.6,FALSE,TRUE,72.36,0,1,0.5,12.64,0.8146627566,Q04,Q04,1,Q04,1,1,1.614662757
Perivascular Spaces Dilatation,G93.9,"Perivascular spaces are like tiny tubes around the blood vessels in the brain where fluid flows. They help keep the brain clean and working well by washing away waste. Sometimes, these spaces can get bigger, just like a pipe that becomes wider. This is called dilatation. Usually, this doesn't cause any problems and is often just something seen when looking at a brain scan. It can be connected to getting older. Think of it as something the doctor noticed, but it’s often not something to be worried about on its own.",91,G93.4,G93.9,TRUE,FALSE,83.66,1,0,0.5,1.34,0.8854700855,G93,G93,1,G93,1,1,1.685470085
White Matter Disease,R90.82,"White matter disease is a condition that affects the brain. The brain is like a giant network of highways that helps with thinking and balance. White matter is like the roads that connect important places. Over time, these roads can wear down. This can happen more often as people get older. Sometimes, it doesn't cause any problems at first, but it might make it harder to walk steadily or think clearly as it gets worse. It’s helpful to watch out for any changes to stay healthy.",86,G93.49,R90.89,FALSE,FALSE,84.37,0,0,0,0.63,0.1226993865,R90,G93,0,R90,1,0.5,0.9226993865
Gliosis,R90.89,"Gliosis is when the brain tries to fix itself after being hurt, a bit like when you get a cut and your skin heals with a scar. When the brain is damaged by an injury, disease, or illness, tiny helper cells called glial cells get to work. These glial cells are good because they try to protect and repair the brain. However, as they do this, they can sometimes leave behind a mark called gliosis. This mark tells doctors that something happened to that part of the brain in the past. The mark itself isn't a disease, but it shows the brain's history.",103,R90.89,R90.89,TRUE,TRUE,87.86,1,1,1,2.86,1.651813472,R90,R90,1,R90,1,1,1.651813472
Cerebral Atrophy,G31.1,"Cerebral atrophy means the brain shrinks. Think of it like a balloon losing air; over time the brain gets smaller. This often happens as we get older, but can sometimes be due to illnesses. When the brain shrinks, it can change how it works. Some people might find remembering things or talking slightly harder than before. Not everyone with this condition will notice changes, but it’s important to watch out for any differences. Staying informed and attentive to changes is the key. It's like being aware of how any part of your body works and changes over time.",98,G31.1,G31.1,TRUE,TRUE,84.37,1,1,1,0.63,1.722699387,G31,G31,1,G31,1,1,1.722699387
White Matter Hyperintensity,R90.89,"White matter hyperintensities (WMHs) are spots that can show up on MRI brain scans. These spots are like places where normal brain tissue looks a little different. WMHs happen a lot when people get older. You can think of them like small cracks in a road. They usually don't cause problems or make you sick. Scientists are still figuring out why they happen, and sometimes they are linked with other health issues. But most of the time, they are nothing to worry about.",83,R90.89,R90.89,TRUE,TRUE,84.78,1,1,1,0.22,1.763934426,R90,R90,1,R90,1,1,1.763934426
Colloid Cyst,G93.0,"A colloid cyst is like a small, jelly-like bubble in the brain. It usually forms in a special spot called the third ventricle. This area helps brain fluid, like water, move around your brain and spine. If the cyst gets too big, it can block this fluid, like a leaf blocking water in a pipe. Mostly, these cysts grow slowly and may not cause problems. But sometimes, they can make you have headaches, vision issues, or other symptoms. It's important to watch it to make sure it isn't causing trouble.",90,G93.0,D33.0,FALSE,TRUE,83.76,0,1,0.5,1.24,0.8892857143,G93,G93,1,D33,0,0.5,0.8892857143
Cerebral Microbleeds,I61.9,"Cerebral microbleeds are tiny spots of bleeding in the brain. They happen when small blood vessels leak a little blood. These spots are like tiny dots and are so small you need a special picture from an MRI to see them. You wouldn't feel anything or know they were there just by how you feel. Doctors look at these pictures to learn about your brain's health. They help doctors see if there are any hidden issues inside the brain, even though these spots are very, very small.",87,I62.9,I61.9,TRUE,FALSE,90.6,1,0,0.5,5.6,0.8303030303,I61,I62,0,I61,1,0.5,0.8303030303
Dilated Ventricles,G91.9,"Imagine your head has a kind of balloon inside it. This balloon is divided into small rooms called ventricles. These hold brain water that helps keep your brain safe. Sometimes, these rooms get bigger than usual. This is what we call dilated ventricles. Like balloons filled with a little too much air, they become larger. It can happen for many reasons, such as getting older. It is not always bad but is important to keep an eye on it. If you feel anything different or odd, it is important to let someone know.",93,G91.9,G93.89,FALSE,TRUE,77.94,0,1,0.5,7.06,0.8248138958,G91,G91,1,G93,0,0.5,0.8248138958
Cystic Lesion of Choroid Plexus,Q04.8,"Your brain has special parts that help make brain fluid. These parts are called the choroid plexus. Sometimes, little sacs filled with water, called cysts, can form there. Imagine these like water balloons. They are usually small and do not cause problems. Doctors often find them by surprise when they take pictures of your brain for other reasons. Most cysts do not change anything about how your brain works. People with them usually don’t feel them at all. It’s like having a tiny bubble that just sits there without causing harm.",91,Q04.8,Q04.6,FALSE,TRUE,86.6,0,1,0.5,1.6,0.8769230769,Q04,Q04,1,Q04,1,1,1.676923077
Empty Sella Syndrome,E23.6,"Empty Sella Syndrome means that the pituitary gland, a tiny part of your brain, appears smaller or missing. Usually, this gland is in a small bony space in your skull called the sella turcica, which looks like a saddle. In this condition, the space seems empty or filled with fluid instead of the gland. Most of the time, this doesn’t cause any trouble, and many people might not know it’s there. It's similar to an empty chair at a movie; everything keeps going on just fine, even with the empty spot.",91,E23.6,E23.6,TRUE,TRUE,78.38,1,1,1,6.62,1.626246719,E23,E23,1,E23,1,1,1.626246719
Developmental Venous Anomaly,Q28.3,"A Developmental Venous Anomaly, or DVA, is a natural pattern of veins in the brain. It forms when you are growing and is usually not a problem. Most often, it doesn't cause any issues. Doctors might find a DVA during a brain scan even if you have no symptoms. Think of it as a special road in your brain that helps with blood flow. It's just a part of what makes your brain special and nothing to be worried about. This type of vein is just another way your body is unique.",92,Q28.3,Q28.3,TRUE,TRUE,83.56,1,1,1,1.44,1.681967213,Q28,Q28,1,Q28,1,1,1.681967213
Cerebral Calcifications,R90.89,"Cerebral calcifications are small, hard spots inside the brain that can show up on imaging scans like an MRI or CT scan. These spots are made up of calcium, a mineral found in our bodies that helps keep our bones strong. Sometimes, these calcifications are normal as people age and don't cause any problems. They're a bit like the hard water spots that can form on a shower door – they are there but don't always affect how things work. These spots can also show up if someone has had an injury, an infection, or a condition affecting the brain. While they are often harmless, they might need to be monitored to ensure they aren't related to any other issues.",120,R90.89,R90.8,FALSE,TRUE,68.3,0,1,0.5,16.7,0.811299435,R90,R90,1,R90,1,1,1.611299435
Hemangioblastoma,D33.0,"A hemangioblastoma is a kind of tumor that can grow in the brain or spinal cord. Think of it as a small bunch of extra blood vessels. It's not cancer, so it doesn't spread to other body parts. But it can cause problems like headaches or feeling dizzy. Doctors use special pictures of your head to see these lumps. They don't rush to treat it unless it causes issues. Instead, they keep checking to make sure it doesn't grow or start causing trouble. This way, they can take action if they need to.",93,D33.0,D33.0,TRUE,TRUE,93.54,1,1,1,8.54,1.620964361,D33,D33,1,D33,1,1,1.620964361
Cortical Dysplasia,Q04.3,"Cortical dysplasia happens when parts of the brain don't grow the usual way. Imagine neurons as people sitting in the wrong seats. If this happens, it can mix up messages in the brain. This can lead to problems like seizures, but not always. Many people with cortical dysplasia don't have big issues. It’s often found when doctors look for something else. Picture it like a plot twist in a movie – not causing trouble all the time, but still worth knowing about. So, even if things look different, it doesn’t always mean bad stuff will happen.",96,Q04.3,Q04.3,TRUE,TRUE,84.78,1,1,1,0.22,1.763934426,Q04,Q04,1,Q04,1,1,1.763934426
Diffuse Axonal Injury,S06.2X0A,"A diffuse axonal injury happens when the brain experiences a strong shake or turn, like if you spin around too fast and get dizzy. This shaking can stretch the tiny parts inside the brain, called axons, which usually carry messages. When they stretch too much, they can't send messages correctly. This can change how someone thinks, feels, or moves. Even if the person doesn't pass out, it's still a problem. Doctors do tests to check what's going on, and taking rest helps the brain to get better, just like letting a sprained ankle heal by keeping it still.",98,S06.2X0A,S06.2X9A,FALSE,TRUE,80.31,0,1,0.5,4.69,0.8351493849,S06,S06,1,S06,1,1,1.635149385
Ependymoma,D33.3,"An ependymoma is a kind of tumor that starts in the brain or spinal cord. Imagine it like a group of extra cells growing together in a ball. Usually, our brain and spine have special cells to help protect them with fluid, but sometimes these cells can get clumped into a lump, like pieces of clay sticking together. While ependymomas can grow in kids and adults, they happen more often in younger people. Doctors will decide how best to look after it, and remember, everyone's situation is unique.",88,D33.3,C71.9,FALSE,TRUE,70.53,0,1,0.5,14.47,0.8129282482,D33,D33,1,C71,0,0.5,0.8129282482
Focal Cortical Dysplasia,Q04.3,"Focal Cortical Dysplasia (FCD) is when a small area in the brain forms differently. Think of it like a patch in a garden where plants didn't grow in straight lines. This happens while a baby is still growing in the mother's womb. Sometimes, FCD can make someone have seizures, which are quick bursts of activity in the brain. Knowing about FCD helps doctors understand why this might happen, even if they were not originally looking for it. It is part of understanding the brain better.",85,Q04.3,Q04.3,TRUE,TRUE,73.98,1,1,1,11.02,1.616638935,Q04,Q04,1,Q04,1,1,1.616638935
Infarct (Old),I69.998,"An ""infarct"" means part of your brain didn't get enough blood in the past. This made that part stop working right. It's like when a plant doesn't get water, and some leaves turn brown. Here, your brain didn't get enough oxygen and food. But don't worry. This happened long ago and your body has tried to fix it. Taking care of yourself can help make sure new problems don't happen. Eat well, exercise, and keep healthy habits to support your brain health.",82,I69.3,I69.30,FALSE,FALSE,94.86,0,0,0,9.86,0.01841620626,I69,I69,1,I69,1,1,1.618416206
Lacunar Infarction,I63.9,"In your brain, there are tiny tubes called blood vessels. Imagine if one gets blocked, like a traffic jam, and the blood can't move through. This is called a lacunar infarction, a small stroke in a deep part of the brain. It's like a tiny problem that might become bigger if not watched. It can sometimes make it hard to remember things or move easily. Doctors study these to learn more about the brain and help keep you healthy. It may not cause big problems, but it's important to know about it.",92,I63.81,I63.81,FALSE,FALSE,92.02,0,0,0,7.02,0.02493765586,I63,I63,1,I63,1,1,1.624937656
Leukoencephalopathy,G93.49,"Leukoencephalopathy means changes in the white matter of the brain. The white matter is like roads that help send messages in your brain and body. Imagine they are like the wires that keep a computer connected. Sometimes, this white matter can change if you get sick, hurt, or for some other reasons. These changes may not make you feel different right away, but it is important for doctors to watch them. Every person’s brain is unique, and changes can have different effects on people. Understanding these changes helps ensure the brain stays healthy.",93,G93.49,G93.49,TRUE,TRUE,83.36,1,1,1,1.64,1.675757576,G93,G93,1,G93,1,1,1.675757576
Low-Grade Glioma,D33.0,"A low-grade glioma is a kind of brain tumor. It usually grows slowly. It comes from the brain's helper cells. These tumors are not cancer, so they are called benign. Imagine it like a small bush in a garden. It’s there but doesn't cause much trouble. Doctors just watch them closely. Some people with this tumor might have headaches or feel dizzy. But often, the doctor only needs to check it from time to time. It’s important to remember that it's not as scary as it sounds because it behaves calmly.",91,D33.0,D33.0,TRUE,TRUE,87.62,1,1,1,2.62,1.655248619,D33,D33,1,D33,1,1,1.655248619
Meningioma,D32.0,"A meningioma is a type of bump in the brain. Imagine it like a little lump that's extra. It's not like a wart or a mole, but it’s a bit similar since it’s something extra in the brain. Most of these bumps are not cancer, which means they don’t spread and make you sick all over. A lot of people have them without ever noticing. Still, it’s good for doctors to look at them sometimes to make sure they don’t grow big or cause problems.",85,D32.0,D32.9,FALSE,TRUE,90.9,0,1,0.5,5.9,0.8289855072,D32,D32,1,D32,1,1,1.628985507
Multiple Sclerosis Plaques,G35,"Multiple sclerosis plaques are patches of damage in the brain or spine. Imagine an electric wire with its cover worn down. These patches form because the nerve's shield gets damaged. Without this shield, the brain struggles to send messages to the body. This can make someone feel worn out, have trouble moving, or see blurry. It’s important to notice how you feel and if there are any changes. Pay attention to your body and let someone know if you notice something different. Staying aware helps keep you informed about what is happening with your health.",95,G35,G35,TRUE,TRUE,84.78,1,1,1,0.22,1.763934426,G35,G35,1,G35,1,1,1.763934426
Normal Pressure Hydrocephalus,G91.2,"Normal Pressure Hydrocephalus (NPH) is when extra fluid builds up in the brain. Think of it like having too much water in a sponge. In NPH, this doesn't make your head bigger but can affect how you walk, think, or use the bathroom. You might feel a bit shaky or forgetful. Remember though, even with this fluid, the pressure in your head stays normal. It does not happen often to people. If you have NPH, doctors help by fixing how you walk, think, and use the bathroom better.",88,G91.2,G91.2,TRUE,TRUE,84.07,1,1,1,0.93,1.703626943,G91,G91,1,G91,1,1,1.703626943
Periventricular Leukomalacia,P91.2,"Periventricular leukomalacia, or PVL, is a brain issue mostly in babies born early. It means that some parts of the brain, near the fluid spaces, are hurt and become very soft. Think of it like a bunch of plants that didn't get enough water or sunlight, making them weak. In PVL, parts of the brain don’t get enough oxygen or blood. This can make it hard for a baby to move well or learn the same way as others. Babies with PVL might need extra help as they grow.",89,P91.2,P91.2,TRUE,TRUE,90.29,1,1,1,5.29,1.631796502,P91,P91,1,P91,1,1,1.631796502
Septo-Optic Dysplasia,Q04.4,"Septo-Optic Dysplasia is a rare condition that some people are born with. It affects certain parts of the brain and the eyes. Imagine trying to build a puzzle but a couple of the pieces are missing. Sometimes, the part of the brain that affects the eyes doesn’t develop fully. This might make it hard for a person to see well, and they might need special glasses or other help. Some might also have trouble learning things as fast as other kids. Hormones, which are like messengers in our bodies, might not work properly too, affecting growth or energy levels.",99,Q04.4,Q04.2,FALSE,TRUE,74.08,0,1,0.5,10.92,0.8167785235,Q04,Q04,1,Q04,1,1,1.616778523
Spinal Canal Stenosis,M48.0,"Spinal canal stenosis means the space inside your spine gets tight. This tight space can press on your nerves. Imagine trying to fit too many things into a small bag. The pressure can cause pain in your back, legs, or arms. Sometimes, you might feel tingling or weakness. Your spine is like a highway for nerve signals, and when it’s squeezed, signals might slow down. This might make it hard to walk or stand for long. It’s important to know that many people have this and doctors can help you feel better.",92,M48.0,M48.0,TRUE,TRUE,93.64,1,1,1,8.64,1.620746888,M48,M48,1,M48,1,1,1.620746888
Thalamic Gliosis,R90.89,"Thalamic gliosis is when the thalamus in the brain changes. The thalamus helps messages move through the brain, like a stoplight for information. Gliosis is where certain brain cells, called glial cells, start working more, sometimes after an injury. This is like a scar that forms when your skin heals after a cut. These busy cells help clean and protect the brain. Even though thalamic gliosis may not cause any symptoms, knowing about it can help doctors learn more about what's happening in the brain.",85,R90.89,G93.89,FALSE,TRUE,73.98,0,1,0.5,11.02,0.8166389351,R90,R90,1,G93,0,0.5,0.8166389351
Trigeminal Neuralgia,G50.0,"Trigeminal neuralgia is a condition that affects a nerve in your face called the trigeminal nerve. This nerve helps you feel things on your face, like touch or pain. If you have trigeminal neuralgia, you might feel sharp pains in your face, like your jaw or cheek or near your eyes. It feels like sudden zaps of electricity. It can hurt a lot, even when brushing your teeth or while eating. Although it's not dangerous, it can be annoying, and people try different ways to feel better.",87,G50.0,G50.0,TRUE,TRUE,82.14,1,1,1,2.86,1.651813472,G50,G50,1,G50,1,1,1.651813472
Ulegyria,Q04.3,"Ulegyria is a change in the brain that looks like tiny waves or grooves. It often happens if a baby doesn't get enough oxygen during birth. Imagine the brain like a sponge. If you press on it, some parts will get wrinkled. These wrinkled parts might not work as well. This can make it hard for a person to think, move, or talk sometimes. But every person is different, and the effects can be light or more obvious. It's important to know people can live with this condition, and support can help handle it better.",95,Q04.3,P91.2,FALSE,TRUE,84.78,0,1,0.5,0.22,0.9639344262,Q04,Q04,1,P91,0,0.5,0.9639344262
Cystic Craniopharyngioma,D33.1,"A cystic craniopharyngioma is a bump in your brain filled with liquid, like a water balloon. It's not dangerous like cancer. This bump grows slowly in a part of the brain that helps with things like seeing. Doctors usually find it by accident when taking pictures of the brain. Most of the time, the bump doesn’t cause any problems. It's like a harmless bubble that the doctor wants to watch to make sure it stays okay. Think of it as a gentle bump that doesn’t usually bother you or cause pain.",91,D33.1,D44.4,FALSE,TRUE,83.66,0,1,0.5,1.34,0.8854700855,D33,D33,1,D44,0,0.5,0.8854700855
Heterotopia,Q04.6,"Heterotopia is when some brain cells don't go where they should. Imagine if puzzle pieces didn't fit right with other pieces. These cells should be in certain places, but they aren't. This happens before a baby is born, while the brain is growing. Usually, these misplaced cells don't cause problems. Still, they might cause seizures or learning issues sometimes. Doctors usually find this when they take special pictures of the brain, like with an MRI machine. Most people with heterotopia are okay and live normal lives.",86,Q04.6,Q04.3,FALSE,TRUE,85.89,0,1,0.5,0.89,0.9058201058,Q04,Q04,1,Q04,1,1,1.705820106
Ischemic White Matter Disease,R90.82,"Ischemic White Matter Disease is when some parts of the brain, called ""white matter,"" don't get enough blood. White matter helps your brain send messages back and forth, like a phone call. If blood flow is low, it's like the phone line gets fuzzy. It means the messages might not work as well. You may not feel anything right away, but it’s good for your doctor to check it. Think of it like lawn patches that turn brown; looking at them helps the gardener know when to water. Checking your brain helps doctors keep you healthy.",96,R90.82,I67.3,FALSE,FALSE,91.41,0,0,0,6.41,0.02699055331,R90,R90,1,I67,0,0.5,0.8269905533
Juvenile Pilocytic Astrocytoma,D33.1,"A juvenile pilocytic astrocytoma is a kind of lump in the brain. It's common in kids. Think of it like a small bump that doesn't spread or cause cancer. This is good news. When doctors check it out closely, they find it has tiny hair-like strings. It grows slowly, like watching grass grow. Sometimes, if it bothers you, doctors might do a surgery to remove it. But most of the time, kids feel much better after getting help. It’s like taking care of a problem so it doesn’t become a big deal.",92,D33.1,D33.1,TRUE,TRUE,86.5,1,1,1,1.5,1.68,D33,D33,1,D33,1,1,1.68
Moyamoya Disease,I67.5,"Moyamoya Disease is a rare condition that can affect the blood vessels in your brain. Think of these blood vessels like tiny roads. Normally, they are open and blood can flow easily to different parts of the brain. But in Moyamoya, these roads get very narrow, almost like squeezing a straw. This makes it hard for blood to pass through. 'Moyamoya' means 'puff of smoke' because the tiny vessels look like smoke on pictures. It's important because the brain needs enough blood to work well. Doctors use special tests to learn more and help manage this.",96,I67.5,I67.5,TRUE,TRUE,84.68,1,1,1,0.32,1.751515152,I67,I67,1,I67,1,1,1.751515152
Pseudotumor Cerebri,G93.2,"Pseudotumor cerebri is a condition where your head feels too full. It's like a balloon filled with too much air. Even though the name sounds scary, it isn't caused by a real tumor. There's extra fluid in your head making pressure. This can make your head hurt, blur your sight, or make a ringing sound in your ears. Young women, especially those who weigh more, might get this. Doctors know how to lower the pressure and help you feel better. It's important to know what this is and how you can feel alright again.",94,G93.2,G93.2,TRUE,TRUE,84.88,1,1,1,0.12,1.778571429,G93,G93,1,G93,1,1,1.778571429
Schwannoma,D33.3,"A schwannoma is a small lump that grows on nerves. Imagine it like a tiny bump on your skin. These bumps come from cells that cover the nerves. Your nerves are like little wires that help send messages in the body. Usually, schwannomas grow slowly and are not harmful. If they get big, they might press on the nerve. This could cause a tingling feeling or slight pain. But most of the time, schwannomas are not dangerous. It's always a good idea to have a doctor check it to make sure everything is okay.",94,D33.3,D36.1,FALSE,TRUE,94.76,0,1,0.5,9.76,0.8185873606,D33,D33,1,D36,0,0.5,0.8185873606
Spongiform Changes in Brain,A81.9,"Spongiform changes in the brain make small holes or gaps in the brain, like a sponge. This happens if some brain cells are lost or damaged. Certain rare illnesses, caused by bad proteins, can cause these changes. These proteins, called prions, can hurt the brain. That can lead to big health problems. It's important for experts to look carefully at this to see what is happening. They will use this information to learn more about how the brain is working. It's a bit like watching a puzzle come together.",89,A81.9,A81.9,TRUE,TRUE,85.59,1,1,1,0.59,1.725786164,A81,A81,1,A81,1,1,1.725786164
Stroke (Old),Z86.73,"An old stroke means that some time ago, you had a health event called a stroke. A stroke happens when the blood flow to your brain gets blocked, kind of like a traffic jam stops cars from moving. This blockage can harm parts of the brain which controls how our body and mind work. Since this is an 'old' stroke, it occurred in the past and it looks like the healing process has already happened. Your brain has made some repairs, just like how a construction crew fixes roads after a big storm. It's important to take care of yourself and live a healthy lifestyle to keep your brain strong.",110,I69.30,I69.30,FALSE,FALSE,86.74,0,0,0,1.74,0.07299270073,Z86,I69,0,I69,0,0,0.07299270073
Subarachnoid Cyst,Q04.6,"A subarachnoid cyst is like a small bubble filled with fluid sitting in the brain. It usually forms in one of the spaces that protect and cushion the brain. These cysts are not tumors and often don't cause any problems. Many people have them and might not even know because they don't always feel different or sick. Doctors sometimes find these cysts when they look at pictures of the brain for other reasons, like headaches. If a subarachnoid cyst is found, doctors will watch it to make sure it doesn’t change, just like watching a tiny bubble in a glass of water.",102,Q04.6,Q04.6,TRUE,TRUE,79.6,1,1,1,5.4,1.63125,Q04,Q04,1,Q04,1,1,1.63125
Cholesteatoma,H71.90,"A cholesteatoma is like a small growing skin lump inside your ear. It happens when skin cells are trapped where they shouldn't be and begin to grow. It isn't cancer, but it can cause problems if it grows too much. Your ear might feel full, or you might have a hard time hearing. Sometimes, it can even make your ear hurt. It’s important to know about a cholesteatoma so doctors can watch it closely to stop it from causing bigger problems inside your ear.",84,H71.90,H71.9,FALSE,TRUE,91.11,0,1,0.5,6.11,0.8281293952,H71,H71,1,H71,1,1,1.628129395
Mastoiditis,H70.90,"Mastoiditis is when a bone behind your ear called the mastoid becomes infected. This bone has tiny air spaces and can get infected, often from an ear infection that wasn't completely treated. Think of it as letting germs sneak inside a tiny cave. When this happens, you might feel pain or see swelling and redness behind your ear. Sometimes it can feel like a bad headache or make hearing difficult. Doctors often give medicine to help fight the germs and clear up the infection. Keeping your ears healthy is really important to prevent it.",94,H70.90,H70.9,FALSE,TRUE,74.79,0,1,0.5,10.21,0.8178412132,H70,H70,1,H70,1,1,1.617841213
Otitis Media,H66.90,"Otitis Media happens when the space behind your eardrum has an infection or swelling. Think of your ear like a room in your house that should be quiet. If something makes noise there, it can sound strange and might hurt. This makes hearing harder because the ear is not working right. Otitis Media is common and can happen to children and adults. It usually is not very serious, but a healthcare person should look at it. The condition might feel like your ear is plugged or in pain. This is a frequent issue that people face.",96,H66.90,H66.9,FALSE,TRUE,84.68,0,1,0.5,0.32,0.9515151515,H66,H66,1,H66,1,1,1.751515152
Otosclerosis,H80.90,"Otosclerosis happens when the tiny bones in your ear stop moving like they should. These bones help carry sounds to your brain. Imagine them like tiny messengers. When they get stuck, your brain does not hear well. It is like a rusty door that does not open easily. Over time, you may find hearing gets harder, especially in one ear. Sounds might seem quieter or not clear. It can feel like turning the volume down on your music player. You might need to ask people to speak louder or repeat themselves more often.",93,H80.9,H80.9,FALSE,FALSE,86.4,0,0,0,1.4,0.08333333333,H80,H80,1,H80,1,1,1.683333333
Vestibular Schwannoma,D33.3,"A vestibular schwannoma is also known as an acoustic neuroma. It is a rare, harmless lump that grows on the nerve linking your ear to your brain. This nerve helps you hear and balance. The lump can press on nearby parts, possibly causing trouble with hearing or balance. Think of it like a traffic slowdown. This lump usually grows very slowly and won’t cause problems quickly. Sometimes, doctors find it by surprise when looking at brain pictures for other reasons. It's important to check with a doctor for more detailed information about this condition.",94,D33.3,D33.3,TRUE,TRUE,76.42,1,1,1,8.58,1.620876827,D33,D33,1,D33,1,1,1.620876827
TMJ Disorder,M26.62,"TMJ Disorder, or pain in the jaw joint, is like when your jaw's little hinge gets sore. This hinge helps your mouth open and close, like a door. Sometimes it can hurt a lot, especially if you chew, talk, or use your mouth a lot. It might sting around your jaw or even spread to your face. This often happens because the joint gets too busy or tired. Resting your jaw can make it better. It's like giving your joint a little break so it doesn't hurt much.",88,M26.62,M26.62,TRUE,TRUE,92.53,1,1,1,7.53,1.623446659,M26,M26,1,M26,1,1,1.623446659
